Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Cultures et produits animaux","Costa Rica","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3394"
"Cultures et produits animaux","Costa Rica","Importations - Quantité","Poulets","2017","1000 têtes","1408"
"Cultures et produits animaux","Costa Rica","Importations - Valeur","Poulets","2017","1000 US$","6480"
"Cultures et produits animaux","Costa Rica","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","12189.07"
"Cultures et produits animaux","Costa Rica","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","19579"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1178.4"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","7787"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Quantité","Poulets","2017","1000 têtes","983"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Valeur","Poulets","2017","1000 US$","3825"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","183.15"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","325"
"Cultures et produits animaux","Croatie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","7079.79"
"Cultures et produits animaux","Croatie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","12650"
"Cultures et produits animaux","Croatie","Importations - Quantité","Poulets","2017","1000 têtes","8663"
"Cultures et produits animaux","Croatie","Importations - Valeur","Poulets","2017","1000 US$","5999"
"Cultures et produits animaux","Croatie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","13306.98"
"Cultures et produits animaux","Croatie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","32834"
"Cultures et produits animaux","Cuba","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0"
"Cultures et produits animaux","Cuba","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","32"
"Cultures et produits animaux","Cuba","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","307421"
"Cultures et produits animaux","Cuba","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","291805"
"Cultures et produits animaux","Danemark","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","9896.35"
"Cultures et produits animaux","Danemark","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","25216"
"Cultures et produits animaux","Danemark","Importations - Quantité","Poulets","2017","1000 têtes","2942"
"Cultures et produits animaux","Danemark","Importations - Valeur","Poulets","2017","1000 US$","9861"
"Cultures et produits animaux","Danemark","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","33811.68"
"Cultures et produits animaux","Danemark","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","104755"
"Cultures et produits animaux","Djibouti","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1790"
"Cultures et produits animaux","Djibouti","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2451"
"Cultures et produits animaux","Djibouti","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2578.47"
"Cultures et produits animaux","Djibouti","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","4488"
"Cultures et produits animaux","Dominique","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.02"
"Cultures et produits animaux","Dominique","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","0"
"Cultures et produits animaux","Dominique","Importations - Quantité","Poulets","2017","1000 têtes","85"
"Cultures et produits animaux","Dominique","Importations - Valeur","Poulets","2017","1000 US$","161"
"Cultures et produits animaux","Dominique","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3772.22"
"Cultures et produits animaux","Dominique","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","5862"
"Cultures et produits animaux","Égypte","Importations - Quantité","Poulets","2017","1000 têtes","3110"
"Cultures et produits animaux","Égypte","Importations - Valeur","Poulets","2017","1000 US$","2000"
"Cultures et produits animaux","Égypte","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","92743.94"
"Cultures et produits animaux","Égypte","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","155327"
"Cultures et produits animaux","El Salvador","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1429.62"
"Cultures et produits animaux","El Salvador","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2250"
"Cultures et produits animaux","El Salvador","Importations - Quantité","Poulets","2017","1000 têtes","4185"
"Cultures et produits animaux","El Salvador","Importations - Valeur","Poulets","2017","1000 US$","6402"
"Cultures et produits animaux","El Salvador","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","10524.51"
"Cultures et produits animaux","El Salvador","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","14284"
"Cultures et produits animaux","Émirats arabes unis","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","84646.25"
"Cultures et produits animaux","Émirats arabes unis","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","100958"
"Cultures et produits animaux","Émirats arabes unis","Importations - Quantité","Poulets","2017","1000 têtes","1000"
"Cultures et produits animaux","Émirats arabes unis","Importations - Valeur","Poulets","2017","1000 US$","2297"
"Cultures et produits animaux","Émirats arabes unis","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","440543.31"
"Cultures et produits animaux","Émirats arabes unis","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","720524"
"Cultures et produits animaux","Équateur","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1081.87"
"Cultures et produits animaux","Équateur","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","5122"
"Cultures et produits animaux","Équateur","Importations - Quantité","Poulets","2017","1000 têtes","3045"
"Cultures et produits animaux","Équateur","Importations - Valeur","Poulets","2017","1000 US$","16405"
"Cultures et produits animaux","Érythrée","Importations - Quantité","Poulets","2017","1000 têtes","141"
"Cultures et produits animaux","Érythrée","Importations - Valeur","Poulets","2017","1000 US$","287"
"Cultures et produits animaux","Érythrée","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2.3"
"Cultures et produits animaux","Érythrée","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","3"
"Cultures et produits animaux","Espagne","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","6283.75"
"Cultures et produits animaux","Espagne","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","27738"
"Cultures et produits animaux","Espagne","Importations - Quantité","Poulets","2017","1000 têtes","64906"
"Cultures et produits animaux","Espagne","Importations - Valeur","Poulets","2017","1000 US$","48616"
"Cultures et produits animaux","Espagne","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","129773.42"
"Cultures et produits animaux","Espagne","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","254612"
"Cultures et produits animaux","Estonie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","5257.01"
"Cultures et produits animaux","Estonie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","7472"
"Cultures et produits animaux","Estonie","Importations - Quantité","Poulets","2017","1000 têtes","2782"
"Cultures et produits animaux","Estonie","Importations - Valeur","Poulets","2017","1000 US$","1585"
"Cultures et produits animaux","Estonie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","14818.48"
"Cultures et produits animaux","Estonie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","25750"
"Cultures et produits animaux","Eswatini","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1349"
"Cultures et produits animaux","Eswatini","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4929"
"Cultures et produits animaux","Eswatini","Importations - Quantité","Poulets","2017","1000 têtes","1058"
"Cultures et produits animaux","Eswatini","Importations - Valeur","Poulets","2017","1000 US$","702"
"Cultures et produits animaux","Eswatini","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1331.28"
"Cultures et produits animaux","Eswatini","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1449"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","9916"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","26295"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Quantité","Poulets","2017","1000 têtes","4872"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Valeur","Poulets","2017","1000 US$","8580"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","58075.28"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","204347"
"Cultures et produits animaux","Éthiopie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","15.36"
"Cultures et produits animaux","Éthiopie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","99"
"Cultures et produits animaux","Éthiopie","Importations - Quantité","Poulets","2017","1000 têtes","2"
"Cultures et produits animaux","Éthiopie","Importations - Valeur","Poulets","2017","1000 US$","91"
"Cultures et produits animaux","Éthiopie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","177.49"
"Cultures et produits animaux","Éthiopie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","205"
"Cultures et produits animaux","Fédération de Russie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","77070.59"
"Cultures et produits animaux","Fédération de Russie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","174196"
"Cultures et produits animaux","Fédération de Russie","Importations - Quantité","Poulets","2017","1000 têtes","7546"
"Cultures et produits animaux","Fédération de Russie","Importations - Valeur","Poulets","2017","1000 US$","30095"
"Cultures et produits animaux","Fédération de Russie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","218668.52"
"Cultures et produits animaux","Fédération de Russie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","343681"
"Cultures et produits animaux","Fidji","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","6.27"
"Cultures et produits animaux","Fidji","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","29"
"Cultures et produits animaux","Fidji","Importations - Quantité","Poulets","2017","1000 têtes","415"
"Cultures et produits animaux","Fidji","Importations - Valeur","Poulets","2017","1000 US$","1772"
"Cultures et produits animaux","Fidji","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","2362.02"
"Cultures et produits animaux","Fidji","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","4197"
"Cultures et produits animaux","Finlande","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1268.14"
"Cultures et produits animaux","Finlande","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1828"
"Cultures et produits animaux","Finlande","Importations - Quantité","Poulets","2017","1000 têtes","310"
"Cultures et produits animaux","Finlande","Importations - Valeur","Poulets","2017","1000 US$","1212"
"Cultures et produits animaux","Finlande","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","5432.53"
"Cultures et produits animaux","Finlande","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","21172"
"Cultures et produits animaux","France","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","67951.22"
"Cultures et produits animaux","France","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","106323"
"Cultures et produits animaux","France","Importations - Quantité","Poulets","2017","1000 têtes","24937"
"Cultures et produits animaux","France","Importations - Valeur","Poulets","2017","1000 US$","26061"
"Cultures et produits animaux","France","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","374076.19"
"Cultures et produits animaux","France","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","950370"
"Cultures et produits animaux","Gabon","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","13.51"
"Cultures et produits animaux","Gabon","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","42"
"Cultures et produits animaux","Gabon","Importations - Quantité","Poulets","2017","1000 têtes","245"
"Cultures et produits animaux","Gabon","Importations - Valeur","Poulets","2017","1000 US$","317"
"Cultures et produits animaux","Gabon","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","61274.68"
"Cultures et produits animaux","Gabon","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","66319"
"Cultures et produits animaux","Gambie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","374.8"
"Cultures et produits animaux","Gambie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","605"
"Cultures et produits animaux","Gambie","Importations - Quantité","Poulets","2017","1000 têtes","3"
"Cultures et produits animaux","Gambie","Importations - Valeur","Poulets","2017","1000 US$","1"
"Cultures et produits animaux","Gambie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","15984.51"
"Cultures et produits animaux","Gambie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","6363"
"Cultures et produits animaux","Géorgie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","987.55"
"Cultures et produits animaux","Géorgie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","2319"
"Cultures et produits animaux","Géorgie","Importations - Quantité","Poulets","2017","1000 têtes","1776"
"Cultures et produits animaux","Géorgie","Importations - Valeur","Poulets","2017","1000 US$","3364"
"Cultures et produits animaux","Géorgie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","47882.73"
"Cultures et produits animaux","Géorgie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","59923"
"Cultures et produits animaux","Ghana","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","100.34"
"Cultures et produits animaux","Ghana","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","656"
"Cultures et produits animaux","Ghana","Importations - Quantité","Poulets","2017","1000 têtes","10731"
"Cultures et produits animaux","Ghana","Importations - Valeur","Poulets","2017","1000 US$","8247"
"Cultures et produits animaux","Ghana","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","147537.69"
"Cultures et produits animaux","Ghana","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","119978"
"Cultures et produits animaux","Grèce","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","12888.4"
"Cultures et produits animaux","Grèce","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","23340"
"Cultures et produits animaux","Grèce","Importations - Quantité","Poulets","2017","1000 têtes","3691"
"Cultures et produits animaux","Grèce","Importations - Valeur","Poulets","2017","1000 US$","5093"
"Cultures et produits animaux","Grèce","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","53290.8"
"Cultures et produits animaux","Grèce","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","111071"
"Cultures et produits animaux","Grenade","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2.73"
"Cultures et produits animaux","Grenade","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","28"
"Cultures et produits animaux","Grenade","Importations - Quantité","Poulets","2017","1000 têtes","10"
"Cultures et produits animaux","Grenade","Importations - Valeur","Poulets","2017","1000 US$","255"
"Cultures et produits animaux","Grenade","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","6229.98"
"Cultures et produits animaux","Grenade","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","9526"
"Cultures et produits animaux","Guatemala","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","94.5"
"Cultures et produits animaux","Guatemala","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","478"
"Cultures et produits animaux","Guatemala","Importations - Quantité","Poulets","2017","1000 têtes","10484"
"Cultures et produits animaux","Guatemala","Importations - Valeur","Poulets","2017","1000 US$","14151"
"Cultures et produits animaux","Guatemala","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","123620.05"
"Cultures et produits animaux","Guatemala","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","103853"
"Cultures et produits animaux","Guinée","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","240.33"
"Cultures et produits animaux","Guinée","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","339"
"Cultures et produits animaux","Guinée","Importations - Quantité","Poulets","2017","1000 têtes","1693"
"Cultures et produits animaux","Guinée","Importations - Valeur","Poulets","2017","1000 US$","1588"
"Cultures et produits animaux","Guinée","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","31501.45"
"Cultures et produits animaux","Guinée","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","32746"
"Cultures et produits animaux","Guinée équatoriale","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2922.37"
"Cultures et produits animaux","Guinée équatoriale","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4244"
"Cultures et produits animaux","Guinée équatoriale","Importations - Quantité","Poulets","2017","1000 têtes","42"
"Cultures et produits animaux","Guinée équatoriale","Importations - Valeur","Poulets","2017","1000 US$","31"
"Cultures et produits animaux","Guinée équatoriale","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","18644.66"
"Cultures et produits animaux","Guinée équatoriale","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","22630"
"Cultures et produits animaux","Guinée-Bissau","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","862.22"
"Cultures et produits animaux","Guinée-Bissau","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","978"
"Cultures et produits animaux","Guinée-Bissau","Importations - Quantité","Poulets","2017","1000 têtes","35"
"Cultures et produits animaux","Guinée-Bissau","Importations - Valeur","Poulets","2017","1000 US$","20"
"Cultures et produits animaux","Guinée-Bissau","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","4205.58"
"Cultures et produits animaux","Guinée-Bissau","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","4735"
"Cultures et produits animaux","Guyana","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2827.09"
"Cultures et produits animaux","Guyana","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","9158"
"Cultures et produits animaux","Guyana","Importations - Quantité","Poulets","2017","1000 têtes","43"
"Cultures et produits animaux","Guyana","Importations - Valeur","Poulets","2017","1000 US$","87"
"Cultures et produits animaux","Guyana","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","81.31"
"Cultures et produits animaux","Guyana","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","77"
"Cultures et produits animaux","Haïti","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","2861.75"
"Cultures et produits animaux","Haïti","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","4313"
"Cultures et produits animaux","Haïti","Importations - Quantité","Poulets","2017","1000 têtes","1742"
"Cultures et produits animaux","Haïti","Importations - Valeur","Poulets","2017","1000 US$","7700"
"Cultures et produits animaux","Haïti","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","85498.32"
"Cultures et produits animaux","Haïti","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","77080"
"Cultures et produits animaux","Honduras","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","76.88"
"Cultures et produits animaux","Honduras","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","425"
"Cultures et produits animaux","Honduras","Importations - Quantité","Poulets","2017","1000 têtes","1478"
"Cultures et produits animaux","Honduras","Importations - Valeur","Poulets","2017","1000 US$","5886"
"Cultures et produits animaux","Honduras","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","8774.57"
"Cultures et produits animaux","Honduras","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","8769"
"Cultures et produits animaux","Hongrie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","18117.77"
"Cultures et produits animaux","Hongrie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","34651"
"Cultures et produits animaux","Hongrie","Importations - Quantité","Poulets","2017","1000 têtes","25073"
"Cultures et produits animaux","Hongrie","Importations - Valeur","Poulets","2017","1000 US$","54418"
"Cultures et produits animaux","Hongrie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","37587.78"
"Cultures et produits animaux","Hongrie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","72300"
"Cultures et produits animaux","Îles Cook","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","186.86"
"Cultures et produits animaux","Îles Cook","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","459"
"Cultures et produits animaux","Îles Cook","Importations - Quantité","Poulets","2017","1000 têtes","0"
"Cultures et produits animaux","Îles Cook","Importations - Valeur","Poulets","2017","1000 US$","2"
"Cultures et produits animaux","Îles Cook","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1505.84"
"Cultures et produits animaux","Îles Cook","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2378"
"Cultures et produits animaux","Îles Féroé","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","494.89"
"Cultures et produits animaux","Îles Féroé","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","1371"
"Cultures et produits animaux","Îles Féroé","Importations - Quantité","Poulets","2017","1000 têtes","1"
"Cultures et produits animaux","Îles Féroé","Importations - Valeur","Poulets","2017","1000 US$","20"
"Cultures et produits animaux","Îles Féroé","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","361.28"
"Cultures et produits animaux","Îles Féroé","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1241"
"Cultures et produits animaux","Îles Salomon","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","34.19"
"Cultures et produits animaux","Îles Salomon","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","283"
"Cultures et produits animaux","Îles Salomon","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","3031.22"
"Cultures et produits animaux","Îles Salomon","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","7078"
"Cultures et produits animaux","Inde","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","25.08"
"Cultures et produits animaux","Inde","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","569"
"Cultures et produits animaux","Inde","Importations - Quantité","Poulets","2017","1000 têtes","96"
"Cultures et produits animaux","Inde","Importations - Valeur","Poulets","2017","1000 US$","2587"
"Cultures et produits animaux","Inde","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","17.77"
"Cultures et produits animaux","Inde","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","76"
"Cultures et produits animaux","Indonésie","Importations - Quantité","Poulets","2017","1000 têtes","52155"
"Cultures et produits animaux","Indonésie","Importations - Valeur","Poulets","2017","1000 US$","20940"
"Cultures et produits animaux","Indonésie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","0.03"
"Cultures et produits animaux","Indonésie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","0"
"Cultures et produits animaux","Iran (République islamique d')","Importations - Quantité","Poulets","2017","1000 têtes","510"
"Cultures et produits animaux","Iran (République islamique d')","Importations - Valeur","Poulets","2017","1000 US$","9511"
"Cultures et produits animaux","Iran (République islamique d')","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","5556"
"Cultures et produits animaux","Iran (République islamique d')","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","7939"
"Cultures et produits animaux","Iraq","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","343452.75"
"Cultures et produits animaux","Iraq","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","438704"
"Cultures et produits animaux","Iraq","Importations - Quantité","Poulets","2017","1000 têtes","991"
"Cultures et produits animaux","Iraq","Importations - Valeur","Poulets","2017","1000 US$","2092"
"Cultures et produits animaux","Iraq","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","361904"
"Cultures et produits animaux","Iraq","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","313250"
"Cultures et produits animaux","Irlande","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","1496.35"
"Cultures et produits animaux","Irlande","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","3882"
"Cultures et produits animaux","Irlande","Importations - Quantité","Poulets","2017","1000 têtes","5812"
"Cultures et produits animaux","Irlande","Importations - Valeur","Poulets","2017","1000 US$","6194"
"Cultures et produits animaux","Irlande","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","70413.38"
"Cultures et produits animaux","Irlande","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","258792"
"Cultures et produits animaux","Islande","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","13.86"
"Cultures et produits animaux","Islande","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","331"
"Cultures et produits animaux","Islande","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","1206.52"
"Cultures et produits animaux","Islande","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","4239"
"Cultures et produits animaux","Israël","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","6935.85"
"Cultures et produits animaux","Israël","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","14316"
"Cultures et produits animaux","Israël","Importations - Quantité","Poulets","2017","1000 têtes","1091"
"Cultures et produits animaux","Israël","Importations - Valeur","Poulets","2017","1000 US$","8221"
"Cultures et produits animaux","Italie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","36618.63"
"Cultures et produits animaux","Italie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","58317"
"Cultures et produits animaux","Italie","Importations - Quantité","Poulets","2017","1000 têtes","11625"
"Cultures et produits animaux","Italie","Importations - Valeur","Poulets","2017","1000 US$","14882"
"Cultures et produits animaux","Italie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","51247.31"
"Cultures et produits animaux","Italie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","105677"
"Cultures et produits animaux","Jamaïque","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","4851.02"
"Cultures et produits animaux","Jamaïque","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","26127"
"Cultures et produits animaux","Jamaïque","Importations - Quantité","Poulets","2017","1000 têtes","579"
"Cultures et produits animaux","Jamaïque","Importations - Valeur","Poulets","2017","1000 US$","693"
"Cultures et produits animaux","Jamaïque","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","22856.43"
